Options in 'main-linux-arm64-working' (PKG/CArchive):
 pyi-contents-directory _internal
Contents of 'main-linux-arm64-working' (PKG/CArchive):
 length, uncompressed_length, is_compressed, typecode, name
 7656, 22576, 1, 'b', 'libXdmcp.so.6'
 27283, 134696, 1, 'b', 'libXext.so.6'
 8474, 67640, 1, 'b', 'libXfixes.so.3'
 28713, 67888, 1, 'b', 'libXi.so.6'
 16743, 43200, 1, 'b', 'libXrandr.so.2'
 16953, 43408, 1, 'b', 'libXrender.so.1'
 418790, 1116648, 1, 'b', 'libasound.so.2'
 51986, 198584, 1, 'b', 'libatk-1.0.so.0'
 69559, 267672, 1, 'b', 'libatk-bridge-2.0.so.0'
 85015, 264344, 1, 'b', 'libatspi.so.0'
 25885, 67672, 1, 'b', 'libavahi-client.so.3'
 21387, 67784, 1, 'b', 'libavahi-common.so.3'
 159544, 396248, 1, 'b', 'libblkid.so.1'
 62367, 133232, 1, 'b', 'libbrotlicommon.so.1'
 20906, 67688, 1, 'b', 'libbrotlidec.so.1'
 37666, 133944, 1, 'b', 'libbsd.so.0'
 34250, 70504, 1, 'b', 'libbz2.so.1.0'
 551326, 1183080, 1, 'b', 'libcairo.so.2'
 19250, 67704, 1, 'b', 'libcap.so.2'
 5167, 67432, 1, 'b', 'libcom_err.so.2'
 1741524, 4532392, 1, 'b', 'libcrypto.so.3'
 269513, 657288, 1, 'b', 'libcups.so.2'
 13528, 67432, 1, 'b', 'libdatrie.so.1'
 145847, 395336, 1, 'b', 'libdbus-1.so.3'
 62965, 198712, 1, 'b', 'libexpat.so.1'
 17337, 68000, 1, 'b', 'libffi.so.8'
 142552, 330656, 1, 'b', 'libfontconfig.so.1'
 401945, 788568, 1, 'b', 'libfreetype.so.6'
 19380, 108720, 1, 'b', 'libfribidi.so.0'
 27289, 68480, 1, 'b', 'libgbm.so.1'
 41385, 133448, 1, 'b', 'libgcc_s.so.1'
 462147, 1000296, 1, 'b', 'libgcrypt.so.20'
 743238, 2100616, 1, 'b', 'libgio-2.0.so.0'
 507115, 1314544, 1, 'b', 'libglib-2.0.so.0'
 5562, 67584, 1, 'b', 'libgmodule-2.0.so.0'
 257244, 529184, 1, 'b', 'libgmp.so.10'
 979208, 2303440, 1, 'b', 'libgnutls.so.30'
 150735, 462704, 1, 'b', 'libgobject-2.0.so.0'
 68717, 198640, 1, 'b', 'libgpg-error.so.0'
 76289, 137328, 1, 'b', 'libgraphite2.so.3'
 141095, 334904, 1, 'b', 'libgssapi_krb5.so.2'
 490721, 1052200, 1, 'b', 'libharfbuzz.so.0'
 196492, 329656, 1, 'b', 'libhogweed.so.6'
 102371, 198664, 1, 'b', 'libidn2.so.0'
